isbn,genre,pages
9780698411449,Fiction,400
9780440335184,Fiction,976
9781524761332,Fiction,384
9780698148635,Fiction,400
9780143110439,Fiction,512
9780393356687,Fiction,502
9780393609097,Fiction,304
9780316540711,Fiction,528
9781476706146,Fiction,448
9781101515037,Fiction,480
9780698404175,Fiction,400
9781101626368,Fiction,368
9781501133534,Fiction,368
9780525559481,Fiction,304
9781101514382,Fiction,368
9780062416216,Fiction,208
9781538719664,Fiction,352
9781538719770,Fiction,432
9780399157868,Fiction,437
9780316539555,Fiction,448
9780316097437,Fiction,416
9781250301895,Fiction,336
9781982102319,Fiction,160
9780399179198,FICTION,285
9780316508827,Fiction,432
9780316485616,Fiction,416
9781416595212,Fiction,448
9780316526883,Fiction,400
9780316097383,Fiction,288
9781476717173,Fiction,368
9780316069502,Fiction,400
9780698161351,Fiction,512
9780345527752,Fiction,320
9780385537070,Fiction,224
9780062364913,Fiction,336
9781982137465,Fiction,272
9780735224650,Fiction,464
9781455586424,Fiction,432
9780316464147,Fiction,324
9780345527721,Fiction,320
9780316553452,Fiction,384
9781476778464,Fiction,352
9781101597781,Fiction,400
9780062491817,Fiction,336
9781476783475,Fiction,400
9780399180194,Fiction,320
9781538761571,Fiction,432
9781455586516,Fiction,432
9780316484800,Fiction,448
9780698197008,Fiction,464
9781538761601,Fiction,432
9781501129742,Horror fiction,432
9780316407045,Fiction,448
9780316539425,Fiction,416
9780316433174,Fiction,400
9781455501489,Fiction,480
9780425285428,Fiction,432
9780451494320,Cold cases (Criminal investigation),368
9780345535115,Fiction,352
9780517580516,Fiction,757
9780062834867,Fiction,496
9780316553476,Fiction,368
9780062834881,Fiction,528
9781538714911,Fiction,368
9781101614341,Fiction,416
9780316528443,Fiction,416
9780316527583,Fiction,400
9781101547656,Fiction,432
9781101552186,Fiction,544
9781455521319,Fiction,432
9780345527714,Fiction,305
9780316470063,Fiction,352
9780525575757,Domestic fiction,432
9781982173678,Fiction,512
9780345527691,Fiction,320
9780440339366,Fiction,608
9780316420259,Fiction,416
9780062255679,Fiction,256
9780385534642,Fiction,384
9780062294418,Fiction,400
9780446571852,Fiction,352
9781250123107,Fiction,432
9780316412261,Fiction,400
9781476729107,Fiction,336
9781538719671,Fiction,448
9780446583176,Fiction,352
9780316408738,Fiction,416
9780345527745,Fiction,312
9781250207104,Fiction,464
9781459273702,Fiction,384
9780735217348,Fiction,432
9780385350075,Fiction,336
9781476789408,Fiction,368
9780307739308,Fiction,320
9781476783543,Fiction,400
9780062073204,Fiction,544
9780345544988,FICTION,384
9781250122988,Fiction,432
9780735217362,Fiction,400
9781101584910,Fiction,464
9780316210966,Fiction,400
9780698407107,Fiction,416
9781101621196,Fiction,464
9780316069441,Fiction,416
9780593318171,Fiction,320
9781455585304,Fiction,368
9780316097475,Fiction,416
9780316199896,Fiction,400
9780399184581,Fiction,400
9781984854797,Fiction,384
9780698152519,Fiction,416
9781501163401,Fiction,720
9781455591237,Fiction,400
9781250207227,Fiction,416
9781250272614,Fiction,464
9781501133503,Fiction,480
9781501133510,Fiction,368
9781594634697,Fiction,368
9781101597767,Fiction,400
9781982104061,Fiction,352
9780698160576,Fiction,1120
9780735224667,Fiction,464
9780062429063,Fiction,592
9780399178931,Fiction,368
9780307271341,Fiction,560
9780062424082,Fiction,416
9780399179228,Fiction,320
9780759525771,Fiction,384
9781401686314,Fiction,352
9780698153462,Fiction,368
9780062336583,Fiction,336
9781439180969,Fiction,352
9780062320155,Fiction,544
9780316225892,Fiction,400
9780553908114,Fiction,368
9781455581139,Fiction,304
9781250133748,Fiction,352
9780316284561,Fiction,384
9781439100530,Fiction,448
9780316211024,Fiction,416
9780316273909,Fiction,432
9780812989076,Fiction,241
9780399562471,Fiction,416
9780062320247,Fiction,592
9781439193068,Fiction,384
9781455572120,Fiction,432
9780061122415,Fiction,208
9780316211116,Fiction,448
9780316211062,Fiction,448
9780062834898,Fiction,512
9780062325365,Fiction,464
9781538748169,Fiction,384
9781101561171,Fiction,480
9780399593574,Fiction,418
9781466872929,Fiction,464
9781538748480,Fiction,384
9780345534194,Fiction,384
9781455581238,Fiction,416
9780399163852,FICTION,483
9781460309674,Fiction,384
9780425280102,Fiction,314
9781101566466,Fiction,592
9780399167447,Fiction,528
9781101591437,Fiction,928
9780399173356,Fiction,674
9780399176760,Fiction,718
9780062008671,Fiction,416
9781569479827,Fiction,329
9781455518371,Fiction,944
9781455529773,Fiction,384
9781455548996,Fiction,496
9781101580776,Fiction,320
9780316556668,Fiction,368
9781629998916,Fiction,304
9781455582310,Fiction,600
9780061758225,Fiction,336
9781101612231,Fiction,320
9781101875056,Fiction,416
9781101636459,Fiction,448
9781455581177,Fiction,300
9780441020317,"Stackhouse, Sookie (Fictitious character)",148
9781101580714,Fiction,352
9781101658055,Fiction,898
9781101536872,Fiction,720
9780345527783,Fiction,320
9780062109590,Fiction,784
9780440334866,Fiction,368
9781101513781,Fiction,464
9781538760666,Fiction,432
9780440246442,Fiction,864
9780385534130,Fiction,448
9781455572076,Fiction,432
9781101620366,Fiction,416
9781455559510,Fiction,432
9780345546647,Fiction,64
9780385349758,Fiction,352
9780345546890,Fiction,432
9780345546937,Fiction,404
9780345548412,Fiction,352
9780385536080,Fiction,272
9780399179365,Fiction,288
9780345539656,Fiction,352
9780425263914,Fiction,338
9781982139131,Fiction,352
9780316290197,Fiction,400
9780316408998,Fiction,400
9780062325341,Fiction,384
9780316273985,Fiction,352
9780553901139,Fiction,336
9781439186794,Fiction,352
9780316284554,Fiction,368
9781250207210,Fiction,384
9780316288729,Fiction,368
9781250066633,Fiction,272
9780812984613,Fiction,352
9781476783505,Fiction,384
9780812995756,Fiction,288
9781476749105,Fiction,320
9780316349925,Fiction,464
9780698163478,Fiction,576
9780316375153,Fiction,416
9780698140271,Fiction,352
9781476789378,Fiction,352
9780698404229,Fiction,416
9781451617801,Fiction,400
9780316395588,Fiction,368
9781250161611,Fiction,432
9780698144545,Fiction,336
9780316407182,Fiction,400
9781476789422,Fiction,432
9780316273961,Fiction,368
9780062325426,Fiction,560
9781501131127,Fiction,416
9780316207027,Young Adult Fiction,288
9780593328682,Fiction,400
9780593321447,Fiction,272
9781501190643,Fiction,384
9781429904629,Fiction,352
9780316097376,Fiction,416
9781501188817,Fiction,384
9780062354365,Fiction,576
9780593296677,Fiction,400
9781501190674,Fiction,384
9780804178839,Fiction,40
9781984818508,FICTION,336
9781524733452,Fiction,352
9780316211017,Fiction,416
9780316211147,Fiction,416
9780316211185,Fiction,448
9780307959867,Fiction,272
9780062473356,Fiction,304
9781250109316,Fiction,480
9780805096606,Fiction,784
9780670024780,Fiction,384
9781250213273,Fiction,511
9781439149690,Fiction,432
9781250110251,Fiction,496
9781501100130,Fiction,448
9780062311108,Fiction,880
9781416586760,Fiction,400
9780765326386,Fiction,1232
9780525574682,Fiction,409
9781250145253,Fiction,448
9780698411432,Fiction,400
9780316499378,Fiction,384
9780698411661,Fiction,368
9780525539674,Fiction,400
9781501141386,Fiction,304
9781501142970,Fiction,1156
9781501156212,Fiction,384
9780062824639,Fiction,656
9780525538233,Fiction,368
9780525536628,Fiction,384
9780525536598,Fiction,400
9781250123138,Fiction,400
9780698152670,Fiction,400
9780525521143,Fiction,320
9780062684561,Fiction,480
9781401304706,Fiction,240
9780735211230,Fiction,320
9781250126139,Fiction,448
9780735215894,FICTION,582
9780316474122,Fiction,352
9780316486675,Fiction,448
9780765399830,Fiction,1248
9781524797195,Fiction,464
9780316418188,Fiction,352
9781501171697,Fiction,256
9780316419826,Fiction,432
9780698407114,Fiction,400
9780316420266,Fiction,368
9780316420280,Fiction,432
9780316420327,Fiction,352
9780316420334,Fiction,384
9780316457422,Fiction,576
9780698407985,Fiction,368
9780316422741,Fiction,656
9781501190599,Fiction,384
9781524798635,Fiction,384
9780698408197,Fiction,448
9780316435581,Fiction,272
9781501101779,Fiction,560
9780698408326,Fiction,480
9781476717142,Fiction,368
9781476717111,Fiction,384
9781982104122,Fiction,336
9780698161481,Fiction,400
9780735224636,Fiction,528
9781250759665,Fiction,384
9781982104054,Fiction,384
9781250304452,Fiction,336
9780698164895,Fiction,400
9780399176814,FICTION,742
9780515149487,Fiction,472
9781101602102,Fiction,432
9781250126092,Fiction,448
9781250123145,Fiction,400
9781101611012,Fiction,480
9781101617267,Fiction,384
9781101609248,Fiction,368
9781101609163,Fiction,416
9781250123039,Fiction,464
9781250145260,Fiction,448
9781101606636,Fiction,496
9780698410053,Fiction,384
9781982154875,Fiction,304
9781250161550,Fiction,384
9781250161581,Fiction,384
9780698406421,Fiction,400
9781250122957,Fiction,432
